optimizer,cpu,memory,time,epochs,predictions,dataset,loss,accuracy
nadam,59.225,30.3,34.2003,2,391.5027,16,0.08464,0.96354
sgd,51.075,53.425,29.4859,2,43.5003,16,0.08388,0.95833
rmsprop,59.075,38.75,32.6051,2,391.5027,15,0.05055,0.97396
adadelta,62.475,24.0,35.4399,2,261.0018,13,0.7272,0.53646
adagrad,56.125,48.275,29.5963,2,43.5003,14,0.26892,0.91146
adam,58.55,65.55,27.8853,2,43.5003,16,0.06119,0.97396
adamax,52.95,51.55,30.6545,2,87.0006,15,0.09718,0.97396
ftrl,52.125,53.05,39.1463,2,87.0006,16,0.25436,0.9375
nadam,49.25,50.7,34.8518,2,130.5009,16,0.06126,0.97396
sgd,53.475,56.975,29.9579,2,87.0006,16,0.05485,0.97917
rmsprop,52.65,56.625,34.4146,2,304.5021,16,0.17532,0.93229
adadelta,47.675,53.5,38.229,2,304.5021,4,0.81603,0.54688
adagrad,60.35,45.425,30.5303,2,87.0006,16,0.26616,0.89062
adam,56.825,33.55,32.0012,2,43.5003,16,0.05629,0.97917
adamax,52.9,51.15,32.6828,2,217.5015,15,0.19448,0.91146
ftrl,43.225,44.075,37.5612,2,87.0006,16,0.26322,0.89062
nadam,62.025,43.575,44.0845,2,391.5027,16,0.10188,0.95312
sgd,53.875,57.8,29.4113,2,87.0006,16,0.05122,0.98958
rmsprop,57.925,50.95,33.287,2,348.0024,15,0.18931,0.92708
adadelta,53.7,53.25,37.8799,2,304.5021,11,0.87482,0.51562
adagrad,45.925,33.675,31.4941,2,217.5015,14,0.27365,0.86458
adam,61.325,49.025,35.7373,2,348.0024,14,0.12156,0.94792
adamax,62.1,51.775,30.5324,2,174.0012,16,0.13487,0.96875
ftrl,54.5,58.525,29.4578,2,130.5009,16,0.26343,0.92188
nadam,41.05,29.65,32.0402,2,130.5009,15,0.06642,0.97917
sgd,46.425,39.075,37.4393,2,87.0006,16,0.06399,0.98958
rmsprop,61.8,50.85,34.9213,2,348.0024,16,0.05493,0.98438
adadelta,51.05,45.95,32.3373,2,391.5027,10,0.62797,0.64583
adagrad,61.6,28.95,33.2866,2,174.0012,16,0.21392,0.92708
adam,56.65,49.25,34.6579,2,261.0018,16,0.09874,0.96354
adamax,47.5,66.025,30.4486,2,130.5009,16,0.11774,0.96354
ftrl,59.8,49.325,31.5478,2,87.0006,15,0.2558,0.89062
nadam,50.1,28.6,36.7129,2,87.0006,16,0.05578,0.97917
